ExecutionTime(us),SimulationTime(s),Velocity(m/s)
1107.088,60.00,-17.3314
1109.700,60.25,-19.6802
1112.311,60.50,-22.0010
1114.923,60.75,-24.2908
1117.534,61.00,-26.5470
1120.146,61.25,-28.7670
1122.757,61.50,-30.9483
1125.368,61.75,-33.0887
1127.980,62.00,-35.1863
1130.591,62.25,-37.2393
1133.203,62.50,-39.2461
1135.814,62.75,-41.2053
1138.426,63.00,-43.1157
1141.037,63.25,-44.9763
1143.649,63.50,-46.7865
1146.260,63.75,-48.5455
1148.871,64.00,-50.2531
1151.483,64.25,-51.9089
1154.094,64.50,-53.5129
1156.706,64.75,-55.0651
1159.317,65.00,-56.5659
1161.929,65.25,-58.0156
1164.540,65.50,-59.4146
1167.152,65.75,-60.7636
1169.763,66.00,-62.0633
1172.375,66.25,-63.3145
1174.986,66.50,-64.5180
1177.597,66.75,-65.6749
1180.209,67.00,-66.7861
1182.820,67.25,-67.8528
1185.432,67.50,-68.8759
1188.043,67.75,-69.8568
1190.655,68.00,-70.7965
1193.266,68.25,-71.6962
1195.878,68.50,-72.5573
1198.489,68.75,-73.3808
1201.100,69.00,-74.1681
1203.712,69.25,-74.9204
1206.323,69.50,-75.6389
1208.935,69.75,-76.3248
1211.546,70.00,-76.9793
1214.158,70.25,-77.6037
1216.769,70.50,-78.1989
1219.381,70.75,-78.7663
1221.992,71.00,-79.3070
1224.604,71.25,-79.8219
1227.215,71.50,-80.3122
1229.826,71.75,-80.7789
1232.438,72.00,-81.2231
1235.049,72.25,-81.6457
1237.661,72.50,-82.0475
1240.272,72.75,-82.4297
1242.884,73.00,-82.7930
1245.495,73.25,-83.1383
1248.107,73.50,-83.4664
1250.718,73.75,-83.7781
1253.329,74.00,-84.0742
1255.941,74.25,-84.3554
1258.552,74.50,-84.6224
1261.164,74.75,-84.8759
1263.775,75.00,-85.1165
1266.387,75.25,-85.3449
1268.998,75.50,-85.5616
1271.610,75.75,-85.7672
1274.221,76.00,-85.9622
1276.833,76.25,-86.1473
1279.444,76.50,-86.3228
1282.055,76.75,-86.4892
1284.667,77.00,-86.6471
1287.278,77.25,-86.7967
1289.890,77.50,-86.9386
1292.501,77.75,-87.0731
1295.113,78.00,-87.2006
1297.724,78.25,-87.3215
1300.336,78.50,-87.4360
1302.947,78.75,-87.5446
1305.558,79.00,-87.6475
1308.170,79.25,-87.7449
1310.781,79.50,-87.8373
1313.393,79.75,-87.9248
1316.004,80.00,-88.0078
1318.616,80.25,-88.0863
1321.227,80.50,-88.1607
1323.839,80.75,-88.2312
1326.450,81.00,-88.2980
1329.062,81.25,-88.3613
1331.673,81.50,-88.4212
1334.284,81.75,-88.4779
1336.896,82.00,-88.5317
1339.507,82.25,-88.5826
1342.119,82.50,-88.6308
1344.730,82.75,-88.6764
1347.342,83.00,-88.7197
1349.953,83.25,-88.7606
1352.565,83.50,-88.7994
1355.176,83.75,-88.8361
1357.787,84.00,-88.8708
1360.399,84.25,-88.9038
1363.010,84.50,-88.9349
1365.622,84.75,-88.9644
1368.233,85.00,-88.9924
1370.845,85.25,-89.0188
1373.456,85.50,-89.0439
1376.068,85.75,-89.0676
1378.679,86.00,-89.0900
1381.291,86.25,-89.1113
1383.902,86.50,-89.1314
1386.513,86.75,-89.1505
1389.125,87.00,-89.1685
1391.736,87.25,-89.1856
1394.348,87.50,-89.2017
1396.959,87.75,-89.2170
1399.571,88.00,-89.2315
1402.182,88.25,-89.2452
1404.794,88.50,-89.2582
1407.405,88.75,-89.2705
1410.016,89.00,-89.2821
1412.628,89.25,-89.2931
1415.239,89.50,-89.3036
1417.851,89.75,-89.3134
1420.462,90.00,-89.3228
1423.074,90.25,-89.3316
1425.685,90.50,-89.3400
1428.297,90.75,-89.3479
1430.908,91.00,-89.3554
1433.520,91.25,-89.3625
1436.131,91.50,-89.3692
1438.742,91.75,-89.3756
1441.354,92.00,-89.3816
1443.965,92.25,-89.3873
1446.577,92.50,-89.3927
1449.188,92.75,-89.3979
1451.800,93.00,-89.4027
1454.411,93.25,-89.4073
1457.023,93.50,-89.4116
1459.634,93.75,-89.4157
1462.245,94.00,-89.4196
1464.857,94.25,-89.4233
1467.468,94.50,-89.4267
1470.080,94.75,-89.4300
1472.691,95.00,-89.4332
1475.303,95.25,-89.4361
1477.914,95.50,-89.4389
1480.526,95.75,-89.4416
1483.137,96.00,-89.4441
1485.749,96.25,-89.4464
1488.360,96.50,-89.4487
1490.971,96.75,-89.4508
1493.583,97.00,-89.4528
1496.194,97.25,-89.4547
1498.806,97.50,-89.4565
1501.417,97.75,-89.4582
1504.029,98.00,-89.4598
1506.640,98.25,-89.4613
1509.252,98.50,-89.4628
1511.863,98.75,-89.4641
1514.474,99.00,-89.4654
1517.086,99.25,-89.4667
1519.697,99.50,-89.4678
1522.309,99.75,-89.4689
1524.920,100.00,-89.4699
1527.532,100.25,-89.4709
1530.143,100.50,-89.4719
1532.755,100.75,-89.4727
1535.366,101.00,-89.4736
1537.978,101.25,-89.4744
1540.589,101.50,-89.4751
1543.200,101.75,-89.4758
1545.812,102.00,-89.4765
1548.423,102.25,-89.4771
1551.035,102.50,-89.4777
1553.646,102.75,-89.4783
1556.258,103.00,-89.4788
1558.869,103.25,-89.4793
1561.481,103.50,-89.4798
1564.092,103.75,-89.4803
1566.703,104.00,-89.4807
1569.315,104.25,-89.4811
1571.926,104.50,-89.4815
1574.538,104.75,-89.4819
1577.149,105.00,-89.4822
1579.761,105.25,-89.4825
1582.372,105.50,-89.4828
1584.984,105.75,-89.4831
1587.595,106.00,-89.4834
1590.207,106.25,-89.4837
1592.818,106.50,-89.4839
1595.429,106.75,-89.4841
1598.041,107.00,-89.4844
1600.652,107.25,-89.4846
1603.264,107.50,-89.4848
1605.875,107.75,-89.4850
1608.487,108.00,-89.4851
1611.098,108.25,-89.4853
1613.710,108.50,-89.4854
1616.321,108.75,-89.4856
1618.932,109.00,-89.4857
1621.544,109.25,-89.4859
1624.155,109.50,-89.4861
1626.767,109.75,-89.4862
1629.378,110.00,-89.4863
1631.990,110.25,-89.4864
1634.601,110.50,-89.4865
1637.213,110.75,-89.4865
1639.824,111.00,-89.4866
1642.436,111.25,-89.4867
1645.047,111.50,-89.4868
1647.658,111.75,-89.4868
1650.270,112.00,-89.4869
1652.881,112.25,-89.4870
1655.493,112.50,-89.4871
1658.104,112.75,-89.4872
1660.716,113.00,-89.4872
1663.327,113.25,-89.4873
1665.939,113.50,-89.4874
1668.550,113.75,-89.4875
1671.161,114.00,-89.4875
1673.773,114.25,-89.4876
1676.384,114.50,-89.4877
1678.996,114.75,-89.4877
1681.607,115.00,-89.4877
1684.219,115.25,-89.4877
1686.830,115.50,-89.4877
1689.442,115.75,-89.4877
1692.053,116.00,-89.4877
1694.665,116.25,-89.4877
1697.276,116.50,-89.4877
1699.887,116.75,-89.4877
1702.499,117.00,-89.4877
