ExecutionTime(us),SimulationTime(s),Velocity(m/s)
2976.959,238.98,-89.4877
2979.571,239.23,-89.4877
2982.182,239.48,-89.4877
2984.794,239.73,-89.4877
2987.406,239.98,-89.4877
2990.017,240.23,-89.4877
2992.629,240.48,-89.4877
2995.240,240.73,-89.4877
2997.852,240.98,-89.4877
3000.463,241.23,-89.4877
3003.075,241.48,-89.4877
3005.687,241.73,-89.4877
3008.298,241.98,-89.4877
3010.910,242.23,-89.4877
3013.521,242.48,-89.4877
3016.133,242.73,-89.4877
3018.744,242.98,-89.4877
3021.356,243.23,-89.4877
3023.968,243.48,-89.4877
3026.579,243.73,-89.4877
3029.191,243.98,-89.4877
3031.802,244.23,-89.4877
3034.414,244.48,-89.4877
3037.025,244.73,-89.4877
3039.637,244.98,-89.4877
3042.249,245.23,-89.4877
3044.860,245.48,-89.4877
3047.472,245.73,-89.4877
3050.083,245.98,-89.4877
3052.695,246.23,-89.4877
3055.306,246.48,-89.4877
3057.918,246.73,-89.4877
3060.530,246.98,-89.4877
3063.141,247.23,-89.4877
3065.753,247.48,-89.4877
3068.364,247.73,-89.4877
3070.976,247.98,-89.4877
3073.587,248.23,-89.4877
3076.199,248.48,-89.4877
3078.811,248.73,-89.4877
3081.422,248.98,-89.4877
3084.034,249.23,-89.4877
3086.645,249.48,-89.4877
3089.257,249.73,-89.4877
3091.868,249.98,-89.4877
