ExecutionTime(us),SimulationTime(s),Velocity(m/s)
17045.285,216.00,-89.4882
17120.906,217.00,-89.4882
17196.510,218.00,-89.4882
17272.119,219.00,-89.4882
17347.723,220.00,-89.4882
17423.326,221.00,-89.4882
17498.930,222.00,-89.4882
17574.533,223.00,-89.4882
17650.137,224.00,-89.4882
17725.740,225.00,-89.4882
17801.344,226.00,-89.4882
17876.947,227.00,-89.4882
17952.562,228.00,-89.4882
18028.166,229.00,-89.4882
18103.770,230.00,-89.4882
18179.373,231.00,-89.4882
18254.977,232.00,-89.4882
18330.580,233.01,-89.4882
18406.184,234.01,-89.4882
18481.787,235.01,-89.4882
18557.391,236.01,-89.4882
18632.994,237.01,-89.4882
18708.598,238.01,-89.4882
18784.207,239.01,-89.4882
18859.811,240.01,-89.4882
18935.414,241.01,-89.4882
19011.059,242.01,-89.4882
19086.662,243.01,-89.4882
19162.266,244.01,-89.4882
19237.869,245.01,-89.4882
19313.473,246.01,-89.4882
19389.076,247.01,-89.4882
19464.680,248.01,-89.4882
19540.283,249.01,-89.4882
